ID,Celebrity,Image,Type,Identity,Reliable,SingleFace,Quality,Artifact,Artifact_Explanation,Selected,AnnotationStart,AnnotationEnd
ID000302,Rihanna,01.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-03T13:24:50,2026-08-03T13:25:19
ID000302,Rihanna,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-03T13:25:19,2026-08-03T13:25:39
ID000302,Rihanna,01.jpg,Fake,No,,Yes,Yes,Yes,unnatural facial features,No,2026-08-03T13:25:45,2026-08-03T13:27:22
ID000302,Rihanna,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-03T13:27:22,2026-08-03T13:27:56
ID000302,Rihanna,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-03T13:27:56,2026-08-03T13:28:30
ID000302,Rihanna,1.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-03T13:28:30,2026-08-03T13:28:57
ID000130,Hadika-Kyani,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-03T13:29:09,2026-08-04T11:46:23
ID000130,Hadika-Kyani,01.png,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-04T11:46:27,2026-08-04T11:46:37
ID000111,Ewan-McGregor,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-04T11:46:40,2026-08-04T11:47:03
ID000111,Ewan-McGregor,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-04T11:47:03,2026-08-04T11:47:09
ID000111,Ewan-McGregor,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-04T11:47:10,2026-08-04T11:47:18
ID000111,Ewan-McGregor,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-04T11:47:20,2026-08-04T11:48:01
ID000156,Jack-Nicholson,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-04T11:48:23,2026-08-04T11:48:46
ID000156,Jack-Nicholson,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-04T11:48:48,2026-08-04T12:45:48
ID000156,Jack-Nicholson,02.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-04T12:45:48,2026-08-04T12:46:27
ID000156,Jack-Nicholson,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-04T12:46:27,2026-08-04T12:47:11
ID000156,Jack-Nicholson,04.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-04T12:47:11,2026-08-04T14:26:09
ID000156,Jack-Nicholson,05.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-04T14:26:09,2026-08-04T14:26:50
ID000150,Inde-Navarrette,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-04T14:26:59,2026-08-05T18:05:00
ID000150,Inde-Navarrette,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:05:01,2026-08-05T18:05:08
ID000150,Inde-Navarrette,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:05:09,2026-08-05T18:05:18
ID000150,Inde-Navarrette,01.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T18:05:20,2026-08-05T18:05:44
ID000150,Inde-Navarrette,02.png,Fake,No,,No,Yes,Yes,,No,2026-08-05T18:05:44,2026-08-05T18:05:59
ID000150,Inde-Navarrette,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:05:59,2026-08-05T18:06:12
ID000169,Jennie,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:06:24,2026-08-05T18:06:56
ID000169,Jennie,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:06:56,2026-08-05T18:07:33
ID000169,Jennie,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:07:33,2026-08-05T18:07:50
ID000169,Jennie,01.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-05T18:07:51,2026-08-05T18:08:04
ID000169,Jennie,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:08:04,2026-08-05T18:08:11
ID000118,Gene-Hackman,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:08:12,2026-08-05T18:09:04
ID000118,Gene-Hackman,02.jpg,Real,No,Yes,Yes,Yes,,,No,2026-08-05T18:09:04,2026-08-05T18:09:21
ID000118,Gene-Hackman,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:09:21,2026-08-05T18:09:52
ID000118,Gene-Hackman,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:10:03,2026-08-05T18:10:11
ID000118,Gene-Hackman,02.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-05T18:10:11,2026-08-05T18:10:17
ID000118,Gene-Hackman,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:10:46,2026-08-05T18:10:47
ID000118,Gene-Hackman,04.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T18:10:47,2026-08-05T18:10:49
ID000118,Gene-Hackman,05.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T18:10:49,2026-08-05T18:10:58
ID000118,Gene-Hackman,06.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T18:10:58,2026-08-05T18:11:03
ID000213,Kevin-Xu,01.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:11:10,2026-08-05T18:11:16
ID000213,Kevin-Xu,01.webp,Real,No,Yes,Yes,Yes,,,No,2026-08-05T18:11:16,2026-08-05T18:12:21
ID000213,Kevin-Xu,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:12:21,2026-08-05T18:12:28
ID000213,Kevin-Xu,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:12:31,2026-08-05T18:12:43
ID000073,Christian-Clavier,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:12:45,2026-08-05T18:12:52
ID000073,Christian-Clavier,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:12:52,2026-08-05T18:12:58
ID000073,Christian-Clavier,01.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T18:13:00,2026-08-05T18:13:09
ID000030,Antony,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:13:15,2026-08-05T18:13:25
ID000030,Antony,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:13:25,2026-08-05T18:13:29
ID000030,Antony,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:13:31,2026-08-05T18:13:37
ID000030,Antony,02.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-05T18:13:37,2026-08-05T18:13:43
ID000167,Jeff-Bridges,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:13:47,2026-08-05T18:13:55
ID000167,Jeff-Bridges,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T18:13:55,2026-08-05T18:14:09
ID000167,Jeff-Bridges,01.webp,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T18:14:10,2026-08-05T18:14:18
