ID,Celebrity,Image,Type,Identity,Reliable,SingleFace,Quality,Artifact,Artifact_Explanation,Selected,AnnotationStart,AnnotationEnd
ID000174,Jessica-Alba,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T20:41:07,2026-08-05T21:40:38
ID000174,Jessica-Alba,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T21:40:38,2026-08-05T21:42:39
ID000174,Jessica-Alba,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T21:42:40,2026-08-05T21:46:40
ID000174,Jessica-Alba,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T21:46:50,2026-08-05T21:50:59
ID000174,Jessica-Alba,02.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T21:50:59,2026-08-05T21:51:15
ID000174,Jessica-Alba,03.jpg,Fake,Yes,,Yes,No,No,,No,2026-08-05T21:51:15,2026-08-05T22:07:49
ID000305,Robert-Downey-Jr,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:07:54,2026-08-05T22:09:03
ID000305,Robert-Downey-Jr,02.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:09:03,2026-08-05T22:10:07
ID000305,Robert-Downey-Jr,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:10:07,2026-08-05T22:11:44
ID000305,Robert-Downey-Jr,01.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-05T22:11:48,2026-08-05T22:12:21
ID000305,Robert-Downey-Jr,02.jpg,Fake,Yes,,Yes,Yes,Yes,"The skin looks too smooth, with weird lightning and blurred background details.",Yes,2026-08-05T22:12:21,2026-08-05T22:14:49
ID000305,Robert-Downey-Jr,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:14:49,2026-08-05T22:15:02
ID000305,Robert-Downey-Jr,04.png,Fake,Yes,,Yes,Yes,No,,No,2026-08-05T22:15:02,2026-08-05T22:16:14
ID000026,Anthony-Edwards,01.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:16:53,2026-08-05T22:17:56
ID000026,Anthony-Edwards,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:17:56,2026-08-05T22:18:17
ID000026,Anthony-Edwards,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:18:19,2026-08-05T22:18:59
ID000026,Anthony-Edwards,02.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:18:59,2026-08-05T22:20:01
ID000227,Liam-Hemsworth,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:20:04,2026-08-05T22:21:16
ID000227,Liam-Hemsworth,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:22:00,2026-08-05T22:22:03
ID000227,Liam-Hemsworth,01.jpg,Fake,Yes,,Yes,Yes,Yes,The hand holding the green ball looks slightly off (4 fingers instead of 5).,Yes,2026-08-05T22:22:05,2026-08-05T22:25:09
ID000227,Liam-Hemsworth,02.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-05T22:25:09,2026-08-05T22:25:23
ID000227,Liam-Hemsworth,03.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-05T22:25:23,2026-08-05T22:25:32
ID000227,Liam-Hemsworth,04.png,Fake,Yes,,Yes,Yes,No,,No,2026-08-05T22:25:32,2026-08-05T22:25:43
ID000227,Liam-Hemsworth,05.jpg,Fake,Yes,,No,Yes,No,,No,2026-08-05T22:25:43,2026-08-05T22:26:00
ID000022,Angelina-Jolie,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:26:18,2026-08-05T22:26:48
ID000022,Angelina-Jolie,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:26:48,2026-08-05T22:27:16
ID000022,Angelina-Jolie,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:27:16,2026-08-05T22:28:06
ID000022,Angelina-Jolie,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:28:08,2026-08-05T22:28:17
ID000022,Angelina-Jolie,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:28:17,2026-08-05T22:29:16
ID000022,Angelina-Jolie,03.jpg,Fake,Yes,,Yes,Yes,Yes,background distortions,Yes,2026-08-05T22:29:16,2026-08-05T22:29:59
ID000022,Angelina-Jolie,04.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-05T22:29:59,2026-08-05T22:30:15
ID000022,Angelina-Jolie,05.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:30:15,2026-08-05T22:30:26
ID000022,Angelina-Jolie,06.png,Fake,Yes,,Yes,No,No,,No,2026-08-05T22:30:27,2026-08-05T22:30:49
ID000022,Angelina-Jolie,07.jpg,Fake,No,,No,Yes,Yes,,No,2026-08-05T22:30:49,2026-08-05T22:31:07
ID000295,Phil-Salt,01.webp,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:31:16,2026-08-05T22:31:59
ID000295,Phil-Salt,1.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:32:01,2026-08-05T22:32:21
ID000331,Sharlto-Copley,01.jpg,Real,Yes,Yes,Yes,No,,,No,2026-08-05T22:32:23,2026-08-05T22:32:54
ID000331,Sharlto-Copley,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:32:54,2026-08-05T22:33:38
ID000331,Sharlto-Copley,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:34:42,2026-08-05T22:34:48
ID000331,Sharlto-Copley,01.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:34:49,2026-08-05T22:35:09
ID000331,Sharlto-Copley,02.png,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:35:09,2026-08-05T22:35:39
ID000331,Sharlto-Copley,03.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:35:39,2026-08-05T22:35:46
ID000333,Shohei-Ohtani,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:35:49,2026-08-05T22:36:51
ID000333,Shohei-Ohtani,01.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:36:53,2026-08-05T22:37:00
ID000333,Shohei-Ohtani,02.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:37:00,2026-08-05T22:37:08
ID000333,Shohei-Ohtani,03.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-05T22:37:08,2026-08-05T22:37:23
ID000333,Shohei-Ohtani,04.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-05T22:37:23,2026-08-05T22:37:36
ID000292,Paul-Rudd,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:37:38,2026-08-05T22:38:18
ID000292,Paul-Rudd,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:38:20,2026-08-05T22:38:33
ID000292,Paul-Rudd,02.jpg,Fake,No,,No,No,Yes,,No,2026-08-05T22:38:33,2026-08-05T22:38:44
ID000292,Paul-Rudd,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:38:45,2026-08-05T22:38:57
ID000292,Paul-Rudd,04.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-05T22:38:57,2026-08-05T22:39:13
ID000292,Paul-Rudd,05.jpg,Fake,No,,No,No,No,,No,2026-08-05T22:39:13,2026-08-05T22:39:48
ID000085,Demet-Özdemir,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:39:52,2026-08-05T22:40:45
ID000085,Demet-Özdemir,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-05T22:40:45,2026-08-05T22:41:01
ID000085,Demet-Özdemir,01.jpg,Fake,Yes,,Yes,No,No,,No,2026-08-05T22:41:03,2026-08-05T22:41:18
