ID,Celebrity,Image,Type,Identity,Reliable,SingleFace,Quality,Artifact,Artifact_Explanation,Selected,AnnotationStart,AnnotationEnd
ID000076,Clint-Eastwood,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:04:55,2026-08-07T13:05:15
ID000076,Clint-Eastwood,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:05:15,2026-08-07T13:05:28
ID000076,Clint-Eastwood,01.png,Fake,No,,Yes,No,Yes,,No,2026-08-07T13:05:42,2026-08-07T13:06:26
ID000076,Clint-Eastwood,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T13:06:26,2026-08-07T13:07:22
ID000076,Clint-Eastwood,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T13:07:22,2026-08-07T13:07:49
ID000028,Antonio-Banderas,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:07:59,2026-08-07T13:08:31
ID000028,Antonio-Banderas,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:08:31,2026-08-07T13:09:26
ID000028,Antonio-Banderas,01.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:09:28,2026-08-07T13:09:52
ID000028,Antonio-Banderas,02.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:09:52,2026-08-07T13:10:01
ID000028,Antonio-Banderas,03.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:10:01,2026-08-07T13:10:06
ID000028,Antonio-Banderas,04.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:10:06,2026-08-07T13:10:12
ID000028,Antonio-Banderas,05.png,Fake,Yes,,Yes,Yes,No,Very realistic but deepfake,Yes,2026-08-07T13:10:12,2026-08-07T13:11:44
ID000268,Mohammad-Ahmed,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:11:46,2026-08-07T13:11:53
ID000268,Mohammad-Ahmed,02.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:11:53,2026-08-07T13:12:12
ID000268,Mohammad-Ahmed,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:12:12,2026-08-07T13:12:16
ID000268,Mohammad-Ahmed,1.png,Fake,Yes,,No,No,Yes,,No,2026-08-07T13:13:25,2026-08-07T13:13:36
ID000152,Iqra-Kanwal,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:13:38,2026-08-07T13:14:42
ID000152,Iqra-Kanwal,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:14:42,2026-08-07T13:14:46
ID000152,Iqra-Kanwal,04.png,Fake,Yes,,Yes,Yes,Yes,Seems blurry. Likely AI.,Yes,2026-08-07T13:14:47,2026-08-07T13:15:31
ID000184,John-Malkovich,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:15:32,2026-08-07T13:16:58
ID000184,John-Malkovich,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:17:26,2026-08-07T13:17:28
ID000184,John-Malkovich,01.png,Fake,No,,Yes,No,No,,No,2026-08-07T13:17:29,2026-08-07T13:18:04
ID000184,John-Malkovich,02.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T13:18:04,2026-08-07T13:18:24
ID000184,John-Malkovich,03.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T13:18:24,2026-08-07T13:18:34
ID000111,Ewan-McGregor,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:18:36,2026-08-07T13:18:45
ID000111,Ewan-McGregor,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:18:45,2026-08-07T13:18:49
ID000111,Ewan-McGregor,03.jpg,Real,Yes,Yes,Yes,No,,,No,2026-08-07T13:18:49,2026-08-07T13:19:09
ID000111,Ewan-McGregor,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T13:19:12,2026-08-07T13:19:17
ID000015,Alina-Amir,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:19:18,2026-08-07T13:19:44
ID000015,Alina-Amir,01.png,Fake,Yes,,No,No,Yes,,No,2026-08-07T13:19:46,2026-08-07T13:20:38
ID000015,Alina-Amir,02.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:20:38,2026-08-07T13:20:48
ID000015,Alina-Amir,04.png,Fake,Yes,,Yes,No,Yes,Seems edited. Not natural looking.,No,2026-08-07T13:20:48,2026-08-07T13:21:40
ID000370,Winona-Ryder,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:21:42,2026-08-07T13:22:07
ID000370,Winona-Ryder,01.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:22:09,2026-08-07T13:22:16
ID000370,Winona-Ryder,04.jpg,Fake,Yes,,No,No,Yes,,No,2026-08-07T13:22:17,2026-08-07T13:22:54
ID000249,Martin-Ødegaard,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:22:55,2026-08-07T13:23:04
ID000249,Martin-Ødegaard,01.jpg,Fake,No,,Yes,No,Yes,,No,2026-08-07T13:23:07,2026-08-07T13:23:24
ID000038,Barack-obamam,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:23:25,2026-08-07T13:23:49
ID000038,Barack-obamam,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:23:49,2026-08-07T13:23:54
ID000038,Barack-obamam,02.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:23:55,2026-08-07T13:24:09
ID000038,Barack-obamam,04.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:24:09,2026-08-07T13:24:16
ID000038,Barack-obamam,05.png,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T13:24:16,2026-08-07T13:24:24
ID000157,Jack-MA,1.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T13:24:26,2026-08-07T13:24:34
