ID,Celebrity,Image,Type,Identity,Reliable,SingleFace,Quality,Artifact,Artifact_Explanation,Selected,AnnotationStart,AnnotationEnd
ID000265,Miles-Teller,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:11:16,2026-08-07T15:13:48
ID000265,Miles-Teller,01.jpg,Fake,No,,Yes,Yes,Yes,Animation like image,No,2026-08-07T15:13:57,2026-08-07T15:26:50
ID000265,Miles-Teller,02.jpg,Fake,Yes,,Yes,Yes,Yes,actor originally has a butt chin and this image has a different chin shape,Yes,2026-08-07T15:26:50,2026-08-07T15:30:08
ID000265,Miles-Teller,03.jpg,Fake,No,,Yes,Yes,Yes,clearly animated,No,2026-08-07T15:30:08,2026-08-07T15:30:28
ID000265,Miles-Teller,04.png,Fake,No,,Yes,No,No,,No,2026-08-07T15:30:28,2026-08-07T15:30:46
ID000265,Miles-Teller,05.jpg,Fake,Yes,,Yes,Yes,Yes,marvel comic animations,No,2026-08-07T15:30:46,2026-08-07T15:31:13
ID000091,Dustin-Hoffman,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:33:10,2026-08-07T15:33:12
ID000091,Dustin-Hoffman,01.jpg,Fake,No,,Yes,Yes,Yes,painting like image,No,2026-08-07T15:33:14,2026-08-07T15:33:36
ID000091,Dustin-Hoffman,02.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:33:36,2026-08-07T15:33:49
ID000235,Mahatma-Gandhi,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:33:54,2026-08-07T15:34:41
ID000235,Mahatma-Gandhi,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:34:41,2026-08-07T15:34:58
ID000235,Mahatma-Gandhi,03.jpg,Real,Yes,Yes,Yes,Yes,,,No,2026-08-07T15:34:58,2026-08-07T15:35:16
ID000235,Mahatma-Gandhi,01.jpg,Fake,Yes,,Yes,Yes,Yes,,Yes,2026-08-07T15:35:23,2026-08-07T15:35:41
ID000235,Mahatma-Gandhi,02.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:35:42,2026-08-07T15:36:26
ID000006,Agatha-moreira,01.jpg,Real,Yes,Yes,Yes,Yes,,,No,2026-08-07T15:36:34,2026-08-07T15:37:35
ID000006,Agatha-moreira,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:37:35,2026-08-07T15:37:41
ID000006,Agatha-moreira,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:37:41,2026-08-07T15:38:13
ID000006,Agatha-moreira,01.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T15:38:19,2026-08-07T15:38:56
ID000006,Agatha-moreira,02.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T15:38:56,2026-08-07T15:39:14
ID000006,Agatha-moreira,03.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:39:14,2026-08-07T15:39:40
ID000354,Timothée-Chalamet,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:39:42,2026-08-07T15:39:50
ID000354,Timothée-Chalamet,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:39:51,2026-08-07T15:39:56
ID000354,Timothée-Chalamet,03.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:39:56,2026-08-07T15:40:10
ID000354,Timothée-Chalamet,01.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T15:40:12,2026-08-07T15:40:20
ID000354,Timothée-Chalamet,02.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T15:40:20,2026-08-07T15:40:29
ID000354,Timothée-Chalamet,03.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:40:29,2026-08-07T15:40:36
ID000354,Timothée-Chalamet,04.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T15:40:36,2026-08-07T15:40:46
ID000354,Timothée-Chalamet,05.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:40:46,2026-08-07T15:40:56
ID000086,Derrick-Henry,01.png,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:41:01,2026-08-07T15:43:25
ID000086,Derrick-Henry,01.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:43:27,2026-08-07T15:44:03
ID000086,Derrick-Henry,02.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:44:03,2026-08-07T15:44:12
ID000089,Diane-Lane,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:44:14,2026-08-07T15:45:09
ID000089,Diane-Lane,01.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T15:45:10,2026-08-07T15:46:16
ID000089,Diane-Lane,02.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:46:16,2026-08-07T15:46:28
ID000089,Diane-Lane,03.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T15:46:28,2026-08-07T15:46:37
ID000089,Diane-Lane,04.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:46:37,2026-08-07T15:47:18
ID000088,Diane-Kruger,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:47:45,2026-08-07T15:51:14
ID000088,Diane-Kruger,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:51:14,2026-08-07T15:51:25
ID000088,Diane-Kruger,01.jpg,Fake,Yes,,Yes,Yes,Yes,,No,2026-08-07T15:51:27,2026-08-07T15:51:37
ID000088,Diane-Kruger,02.jpg,Fake,Yes,,Yes,Yes,Yes,water looks unnaturaly filled in the tub to the top,Yes,2026-08-07T15:51:37,2026-08-07T15:52:17
ID000088,Diane-Kruger,03.jpg,Fake,Yes,,Yes,No,Yes,,No,2026-08-07T15:52:17,2026-08-07T15:53:25
ID000088,Diane-Kruger,04.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:53:25,2026-08-07T15:54:32
ID000088,Diane-Kruger,05.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T15:54:32,2026-08-07T15:54:42
ID000088,Diane-Kruger,06.jpg,Fake,No,,Yes,Yes,Yes,background is AI,No,2026-08-07T15:54:42,2026-08-07T15:54:58
ID000088,Diane-Kruger,07.png,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:54:58,2026-08-07T15:55:05
ID000088,Diane-Kruger,08.png,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:55:05,2026-08-07T15:55:12
ID000159,Jake-Gyllenhaal,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:55:40,2026-08-07T15:55:49
ID000159,Jake-Gyllenhaal,02.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:55:50,2026-08-07T15:55:54
ID000159,Jake-Gyllenhaal,01.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:55:55,2026-08-07T15:56:04
ID000159,Jake-Gyllenhaal,02.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:56:04,2026-08-07T15:56:18
ID000159,Jake-Gyllenhaal,03.jpg,Fake,No,,Yes,Yes,Yes,,No,2026-08-07T15:56:19,2026-08-07T15:56:31
ID000159,Jake-Gyllenhaal,04.jpg,Fake,No,,Yes,Yes,No,,No,2026-08-07T15:56:31,2026-08-07T15:56:37
ID000093,Dylan-O,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:56:39,2026-08-07T15:57:16
ID000093,Dylan-O,01.jpg,Fake,No,,Yes,Yes,Yes,hands are distorted,No,2026-08-07T15:57:17,2026-08-07T15:57:39
ID000093,Dylan-O,02.jpg,Fake,Yes,,Yes,Yes,Yes,eyebrows are not natural looking,Yes,2026-08-07T15:57:40,2026-08-07T15:58:05
ID000093,Dylan-O,03.jpg,Fake,No,,No,No,No,,No,2026-08-07T15:58:05,2026-08-07T15:58:22
ID000094,Dylan-Dreyer,01.jpg,Real,Yes,Yes,Yes,Yes,,,Yes,2026-08-07T15:58:23,2026-08-07T15:59:04
ID000094,Dylan-Dreyer,01.jpg,Fake,Yes,,Yes,Yes,No,,Yes,2026-08-07T15:59:05,2026-08-07T15:59:20
ID000094,Dylan-Dreyer,images (1).jpg,Fake,Yes,,Yes,Yes,No,,No,2026-08-07T15:59:20,2026-08-07T15:59:40
ID000094,Dylan-Dreyer,images.jpg,Fake,Yes,,Yes,Yes,No,,No,2026-08-07T15:59:40,2026-08-07T16:00:20
