epoch,train_loss,val_loss,train_acc,val_acc
1,0.7509460446309917,0.6129662999466284,0.639239628139309,0.6501170960187354
2,0.572277843899291,0.6174758861758816,0.7061468017205494,0.6618266978922717
3,0.5358070643898017,0.6135140199269822,0.7362009157763286,0.6552693208430913
4,0.5031301314680579,0.5668388858659944,0.7579852920771473,0.6838407494145199
5,0.47822526285049655,0.6493401585230186,0.7747467739697517,0.6768149882903981
6,0.45125581443098234,1.1574627492410035,0.7888996808658248,0.5976580796252927
7,0.42943019067543,0.5372939504571815,0.8006937699458859,0.7320843091334894
8,0.40148313873064867,0.520080781472263,0.8196198140696545,0.7475409836065574
9,0.38688299219853706,0.6915403868613849,0.8276952962397669,0.7269320843091335
10,0.36154935659696913,0.4506450121972098,0.837907589843208,0.795784543325527
11,0.3327901579023148,0.8975630140682654,0.8551685860968503,0.7138173302107729
12,0.3018841208971065,1.0125180765319226,0.8692382405994172,0.6365339578454332
13,0.27289740386904077,0.4532621979935845,0.8825863743582628,0.7985948477751756
14,0.2442068849767111,0.7260479815304279,0.8964895240738171,0.7611241217798594
15,0.1691451869085233,0.5244199337799158,0.9307895101984182,0.8220140515222483
16,0.13841483831081702,0.8106838163377633,0.9458304426252254,0.790632318501171
17,0.11911209132055443,0.6808350811253733,0.954294435965034,0.8220140515222483
18,0.09900495636959898,1.266797852049123,0.961842652976273,0.7742388758782202
19,0.06665890397191603,1.041509108089689,0.9748855279589288,0.8140515222482435
20,0.06228436203182823,1.4181900064447033,0.9769668377965867,0.7911007025761124
21,0.05271611367005746,1.246828691505674,0.9802691827390038,0.8215456674473068
22,0.049549445235154414,1.3639271057474969,0.9811849590675732,0.8112412177985948
23,0.03765272465191692,1.2941103908997864,0.9859025946995976,0.8295081967213115
24,0.035580365500599745,1.3803584829195221,0.9865686138476482,0.8238875878220141
25,0.03275318328459158,1.6235606218896694,0.9882891633134453,0.8257611241217798
26,0.03169344240005641,1.680798284931859,0.9883446649091161,0.8281030444964871
27,0.027936704119624137,1.597205647336903,0.9896767032052172,0.8299765807962529
28,0.025005489278430125,1.7265394938303464,0.9906479811294575,0.8271662763466042
29,0.026262340442386605,1.6429966563609109,0.9901484667684196,0.8327868852459016
30,0.02557914666449998,1.6690794015998272,0.9906479811294575,0.8290398126463701
